,Date,BTCLogRets,ActAddresses,Hashrate,BTCFees,Inflation,Velocity,VIX,SP500Lret,EURUSDLret,GoogleBitcoin,GoogleCrypto,WikiBitcoin,RealizedVariance,RealizedVolatility,DailyVolatility,WeeklyVolatility,MonthlyVolatility,SentimentFinBERT,IsNegativeFinBERT,IsPositiveFinBERT,SentimentGenAI,IsNegativeGenAI,IsPositiveGenAI,ECB,FED,MonetaryDecision,PressRelease,Speech,Statement,Covid,NegGenAICovidECB,NegFinBERTCovidECB,SentimentGenAIPositive,SentimentGenAINegative,SentimentFinBERTPositive,SentimentFinBERTNegative
1199,2021-04-16,-0.6640613407736462,-4.474158148183731,-7.1095330404284836,8.485756516893622,-2.2006375619193723,-0.1650970513159575,-0.027704601181725796,0.3266001655861326,-1.1292649642347112,1.7219101985131324,8.721664825415584,0.7991083453055415,-0.16840435944139692,-0.07697753393818713,-0.5112333650554413,-0.3507186000311439,-0.3920658814942269,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1200,2021-04-17,-0.5326157928504561,-1.080664454030112,-1.289605958618731,6.236522833162109,-0.3778012875568054,1.0737136298430798,-1.3337185845590291,-0.00725132849241794,-0.41672168147272387,-2.473798714959251,-4.722543780630393,-1.5590335703935032,-0.2802662728942712,-0.38648787474331536,-0.07889059596437324,-0.35681878606175615,-0.414273974333487,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1201,2021-04-18,-1.6360147991292475,2.371017815519186,3.521464045972251,-4.0568316791667804,1.0595978820208865,-2.23207848099669,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,6.1834106268661175,-0.7072208806300078,0.46151425801237334,2.052836144001134,2.739914768980792,-0.38856052113061723,0.23935512612895526,-0.2681985119498496,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1202,2021-04-19,-0.2750276789590675,-1.7877356737405459,-2.8932958111863485,9.320609785716684,-0.8579248036170483,1.6674816921789735,1.416043459320788,-0.4955864319158146,0.47318385083970843,-1.7713497113462269,-0.6069697175550941,0.5346989902227804,-0.011580375544936738,0.2706032629596715,2.739454104174434,0.3752220226424006,-0.2296297491861769,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1203,2021-04-20,0.2721539154807561,2.502368069118659,3.307638702504027,1.5318754009249587,0.9960374536491142,-0.8472915902720825,0.11248891250942364,-0.7271542223848966,0.12061891158720266,-1.5182149352694605,-0.45395478444075454,-1.1455988533500343,0.08107437481488096,0.447803256285055,0.2688694145237802,0.4983069701716016,-0.1976546335593982,-0.11865674744121688,0,1,-0.8850838588487184,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1
1204,2021-04-21,-1.093299016077307,-2.155454426152278,-2.8932958111863485,-0.09334996571948381,-0.857418460207503,0.26737806667471103,-0.09821136837037606,1.327955685964861,-0.6574128116654505,-1.644782323307845,-1.8310891824697983,-1.0679876252398042,-0.11257310186664946,0.05539145339022268,0.44616077264056614,0.4633580559319203,-0.20594492943984544,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1205,2021-04-22,-1.0003670440958004,2.0341849600033672,4.483678014057851,-2.5989157324310157,1.3469356324945134,-0.0010576578250715842,0.09773166762127558,-1.0595270750986525,-0.12057716312220558,1.392834989613337,0.3111198811309343,0.05457173495531125,0.41171641353799526,0.9811357013199478,0.05354664116861303,0.7376130589929264,-0.15284999629012064,0.5656111388629029,1,1,-0.5602905390111463,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
1206,2021-04-23,-0.45641435002840425,-0.0072478768551728166,-0.8619552716822825,-6.779209522053851,-0.2500856206117834,-0.09524304134186265,-0.11460818551144057,1.2183187084788318,-1.1324262166187076,3.671047974304224,0.6171497473596104,0.8631449859896477,0.7042763458076103,1.3731127490561776,0.9797682053132929,1.0044803616615543,-0.10983282367840669,0.22347719571084304,1,1,-0.5602905390111461,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0
1207,2021-04-24,-0.342638152546051,0.11487068439226182,1.062472664488918,-11.005295824739017,0.3243919313407244,0.9583809585610136,-1.422261897514789,-0.00725132849241794,1.3081510192718149,-3.5432931438835817,-1.3720443831267837,-1.0957269995453616,-0.05437404607823927,0.1826698585174734,1.3719473574657188,1.1092252805466374,-0.14016078480485372,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1208,2021-04-25,-0.6704800688270235,-1.0224345735232387,-0.4343044297030156,-3.5884465624666158,-0.12271885293688625,-0.7143744288082678,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,-3.55911406738838,-2.258475719789157,-0.4093250353461402,-0.04300934629252833,0.20645058001629485,0.18089067138261605,0.6429793078335411,-0.12684263202303658,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
