Date,"Bitcoin"
2019-07-21,6296
2019-07-22,7472
2019-07-23,7549
2019-07-24,7428
2019-07-25,7137
2019-07-26,6550
2019-07-27,7210
2019-07-28,6217
2019-07-29,7322
2019-07-30,7863
2019-07-31,6646
2019-08-01,7861
2019-08-02,6703
2019-08-03,5781
2019-08-04,5707
2019-08-05,7895
2019-08-06,7769
2019-08-07,8124
2019-08-08,7143
2019-08-09,6625
2019-08-10,6202
2019-08-11,6230
2019-08-12,7084
2019-08-13,7068
2019-08-14,6980
2019-08-15,6445
2019-08-16,6510
2019-08-17,5921
2019-08-18,6210
2019-08-19,7438
2019-08-20,7395
2019-08-21,6984
2019-08-22,6641
2019-08-23,6716
2019-08-24,5250
2019-08-25,5939
2019-08-26,6701
2019-08-27,6466
2019-08-28,7500
2019-08-29,7036
2019-08-30,6089
2019-08-31,6258
2019-09-01,6049
2019-09-02,6576
2019-09-03,6744
2019-09-04,7087
2019-09-05,6062
2019-09-06,5655
2019-09-07,5433
2019-09-08,5469
2019-09-09,6615
2019-09-10,6385
2019-09-11,6664
2019-09-12,6567
2019-09-13,8499
2019-09-14,5264
2019-09-15,5344
2019-09-16,6507
2019-09-17,6717
2019-09-18,6378
2019-09-19,6476
2019-09-20,6414
2019-09-21,5212
2019-09-22,5752
2019-09-23,6912
2019-09-24,7023
2019-09-25,7336
2019-09-26,7395
2019-09-27,7373
2019-09-28,5705
2019-09-29,5545
2019-09-30,6666
2019-10-01,6697
2019-10-02,6734
2019-10-03,6832
2019-10-04,6343
2019-10-05,6396
2019-10-06,5883
2019-10-07,6438
2019-10-08,6542
2019-10-09,6337
2019-10-10,6328
2019-10-11,6076
2019-10-12,6553
2019-10-13,6409
2019-10-14,6875
2019-10-15,7074
2019-10-16,6694
2019-10-17,7274
2019-10-18,6732
2019-10-19,5613
2019-10-20,5719
2019-10-21,6452
2019-10-22,6558
2019-10-23,7449
2019-10-24,7244
2019-10-25,6339
2019-10-26,6820
2019-10-27,6517
2019-10-28,7598
2019-10-29,8012
2019-10-30,8048
2019-10-31,7887
2019-11-01,7415
2019-11-02,7651
2019-11-03,6396
2019-11-04,8025
2019-11-05,8137
2019-11-06,10606
2019-11-07,7517
2019-11-08,7592
2019-11-09,6060
2019-11-10,5852
2019-11-11,7651
2019-11-12,8259
2019-11-13,7941
2019-11-14,7224
2019-11-15,6333
2019-11-16,5469
2019-11-17,5705
2019-11-18,6557
2019-11-19,6654
2019-11-20,6414
2019-11-21,6234
2019-11-22,6251
2019-11-23,5340
2019-11-24,6553
2019-11-25,7636
2019-11-26,7081
2019-11-27,7218
2019-11-28,6627
2019-11-29,6890
2019-11-30,6777
2019-12-01,6037
2019-12-02,6666
2019-12-03,6805
2019-12-04,8452
2019-12-05,7068
2019-12-06,6643
2019-12-07,5694
2019-12-08,5376
2019-12-09,5574
2019-12-10,6343
2019-12-11,6427
2019-12-12,5737
2019-12-13,5699
2019-12-14,4905
2019-12-15,4876
2019-12-16,6739
2019-12-17,6704
2019-12-18,8618
2019-12-19,5395
2019-12-20,5480
2019-12-21,4157
2019-12-22,4841
2019-12-23,6070
2019-12-24,10585
2019-12-25,12179
2019-12-26,9023
2019-12-27,7309
2019-12-28,5710
2019-12-29,5309
2019-12-30,8258
2019-12-31,10837
2020-01-01,10757
2020-01-02,11523
2020-01-03,14060
2020-01-04,7359
2020-01-05,5411
2020-01-06,7792
2020-01-07,14263
2020-01-08,14252
2020-01-09,15399
2020-01-10,12238
2020-01-11,6061
2020-01-12,15290
2020-01-13,15091
2020-01-14,16533
2020-01-15,15700
2020-01-16,5845
2020-01-17,5454
2020-01-18,5177
2020-01-19,5302
2020-01-20,5433
2020-01-21,5738
2020-01-22,6031
2020-01-23,5581
2020-01-24,5298
2020-01-25,4515
2020-01-26,4222
2020-01-27,5082
2020-01-28,5477
2020-01-29,5202
2020-01-30,5347
2020-01-31,4956
2020-02-01,4275
2020-02-02,4650
2020-02-03,4778
2020-02-04,5165
2020-02-05,5415
2020-02-06,5289
2020-02-07,5221
2020-02-08,4636
2020-02-09,5587
2020-02-10,5952
2020-02-11,6104
2020-02-12,6286
2020-02-13,6593
2020-02-14,4973
2020-02-15,4896
2020-02-16,5129
2020-02-17,5932
2020-02-18,5780
2020-02-19,14291
2020-02-20,7521
2020-02-21,5863
2020-02-22,5678
2020-02-23,5602
2020-02-24,6561
2020-02-25,5882
2020-02-26,5789
2020-02-27,5999
2020-02-28,5760
2020-02-29,4618
2020-03-01,4869
2020-03-02,5706
2020-03-03,6682
2020-03-04,6940
2020-03-05,6977
2020-03-06,6136
2020-03-07,4862
2020-03-08,4642
2020-03-09,6688
2020-03-10,6392
2020-03-11,5703
2020-03-12,7548
2020-03-13,8899
2020-03-14,5867
2020-03-15,5549
2020-03-16,6175
2020-03-17,5837
2020-03-18,5824
2020-03-19,5993
2020-03-20,5774
2020-03-21,5177
2020-03-22,5045
2020-03-23,5295
2020-03-24,6023
2020-03-25,6157
2020-03-26,5915
2020-03-27,5699
2020-03-28,5303
2020-03-29,5408
2020-03-30,5683
2020-03-31,5751
2020-04-01,7476
2020-04-02,6801
2020-04-03,6772
2020-04-04,5833
2020-04-05,6112
2020-04-06,6205
2020-04-07,6282
2020-04-08,6256
2020-04-09,6375
2020-04-10,6461
2020-04-11,6421
2020-04-12,6382
2020-04-13,7243
2020-04-14,6962
2020-04-15,6694
2020-04-16,6908
2020-04-17,6987
2020-04-18,6939
2020-04-19,6433
2020-04-20,7007
2020-04-21,7339
2020-04-22,7147
2020-04-23,7330
2020-04-24,7119
2020-04-25,7179
2020-04-26,7838
2020-04-27,8212
2020-04-28,8060
2020-04-29,8994
2020-04-30,9981
2020-05-01,8136
2020-05-02,7904
2020-05-03,8050
2020-05-04,8267
2020-05-05,8291
2020-05-06,8483
2020-05-07,8500
2020-05-08,9430
2020-05-09,7988
2020-05-10,8994
2020-05-11,11170
2020-05-12,10677
2020-05-13,8349
2020-05-14,8061
2020-05-15,7443
2020-05-16,7142
2020-05-17,7892
2020-05-18,8412
2020-05-19,7445
2020-05-20,8015
2020-05-21,7753
2020-05-22,6776
2020-05-23,6244
2020-05-24,6127
2020-05-25,6643
2020-05-26,7084
2020-05-27,6583
2020-05-28,5969
2020-05-29,5760
2020-05-30,5599
2020-05-31,5322
2020-06-01,5523
2020-06-02,6295
2020-06-03,5676
2020-06-04,5819
2020-06-05,5613
2020-06-06,5187
2020-06-07,5894
2020-06-08,5931
2020-06-09,6082
2020-06-10,6074
2020-06-11,6015
2020-06-12,5541
2020-06-13,5014
2020-06-14,5010
2020-06-15,5277
2020-06-16,4973
2020-06-17,5336
2020-06-18,5240
2020-06-19,4801
2020-06-20,4678
2020-06-21,4622
2020-06-22,5517
2020-06-23,5665
2020-06-24,5227
2020-06-25,5149
2020-06-26,4938
2020-06-27,4613
2020-06-28,4871
2020-06-29,4824
2020-06-30,5256
2020-07-01,5252
2020-07-02,5038
2020-07-03,5024
2020-07-04,4689
2020-07-05,4701
2020-07-06,5279
2020-07-07,5363
2020-07-08,5701
2020-07-09,5881
2020-07-10,5457
2020-07-11,4936
2020-07-12,4777
2020-07-13,5294
2020-07-14,5691
2020-07-15,7505
2020-07-16,14394
2020-07-17,9131
2020-07-18,7660
2020-07-19,6866
2020-07-20,7016
2020-07-21,7270
2020-07-22,6639
2020-07-23,6984
2020-07-24,6487
2020-07-25,8042
2020-07-26,8513
2020-07-27,9404
2020-07-28,10088
2020-07-29,7925
2020-07-30,7280
2020-07-31,6958
2020-08-01,7512
2020-08-02,8081
2020-08-03,7635
